year,avg_population,live_births,deaths,natural_change,crude_birth_rate,crude_death_rate,natural_change_per_1000,crude_migration_change,total_fertility_rate
1861,"20,119,314","696,406","435,114","261,292",34.61,21.63,12.98,−2.2,4.88
1862,"20,371,013","712,684","436,566","276,118",34.99,21.43,13.56,−1.2,4.92
1863,"20,625,855","727,417","473,837","253,580",35.28,22.97,12.31,0.1,4.94
1864,"20,883,889","740,275","495,531","244,744",35.44,23.73,11.71,0.6,4.96
1865,"21,145,151","748,069","490,909","257,160",35.39,23.22,12.17,0.2,4.93
1866,"21,409,684","753,870","500,689","253,181",35.22,23.39,11.83,0.5,4.92
1867,"21,677,525","768,349","471,073","297,276",35.45,21.73,13.72,−1.4,4.94
1868,"21,948,713","786,858","480,622","306,236",35.85,21.90,13.95,−1.6,4.97
1869,"22,223,299","773,381","494,828","278,553",34.82,22.27,12.55,−0.2,4.82
1870,"22,501,316","792,787","514,902","277,885",35.24,22.88,12.36,−0.0,4.91
1871,"22,788,466","797,428","514,879","282,549",35.00,22.59,12.41,0.2,4.85
1872,"23,096,500","825,907","492,265","333,642",35.76,21.32,14.44,−1.1,4.89
1873,"23,408,600","829,778","492,520","337,258",35.44,21.04,14.40,−1.1,4.94
1874,"23,724,800","854,956","526,632","328,324",36.04,22.20,13.84,−0.5,4.93
1875,"24,045,400","850,607","546,453","304,154",35.38,22.73,12.65,0.7,4.91
1876,"24,370,300","887,968","510,315","377,653",36.45,20.94,15.51,−2.2,4.90
1877,"24,699,500","888,200","500,496","387,704",35.96,20.26,15.70,−2.4,4.89
1878,"25,033,300","891,906","539,872","352,034",35.62,21.56,14.06,−0.7,4.88
1879,"25,371,500","880,389","526,255","354,134",34.71,20.74,13.97,−0.6,4.81
1880,"25,714,300","881,643","528,624","353,019",34.29,20.56,13.73,−0.4,4.85
1881,"26,046,100","883,642","491,935","391,707",33.92,18.89,15.03,−2.3,4.68
1882,"26,334,900","889,014","516,654","372,360",33.75,19.62,14.13,−3.2,4.62
1883,"26,626,900","890,722","522,997","367,725",33.45,19.64,13.81,−2.8,4.55
1884,"26,922,200","906,750","530,828","375,922",33.68,19.72,13.96,−3.0,4.47
1885,"27,220,700","894,270","522,750","371,520",32.86,19.20,13.66,−2.7,4.54
1886,"27,522,500","903,760","537,276","366,484",32.83,19.52,13.31,−2.4,4.42
1887,"36,599,100","1,041,937","629,287","412,650",31.9,19.1,11.3,,4.24
1888,"36,881,300","1,034,144","605,899","428,245",31.2,18.1,11.6,−4,4.16
1889,"37,178,900","1,039,166","615,033","424,133",31.1,18.2,11.4,−3.4,4.11
1890,"37,484,800","1,021,361","665,758","355,603",30.2,19.5,9.5,−1.3,4.06
1891,"37,802,400","1,071,382","696,490","374,892",31.4,20.2,9.9,−1.5,4.00
1892,"38,134,100","1,053,205","661,273","391,932",30.4,19.0,10.3,−1.6,3.95
1893,"38,490,300","1,073,011","673,722","399,289",30.7,19.2,10.4,−1.1,3.90
1894,"38,859,100","1,045,631","593,808","451,823",29.6,16.6,11.6,−2.1,3.84
1895,"39,221,100","1,080,527","676,110","404,417",30.3,18.7,10.3,−1.1,3.79
1896,"39,599,100","1,076,812","620,108","456,704",29.6,17.1,11.5,−2,3.73
1897,"39,987,300","1,082,889","645,630","437,259",31.9,19.1,10.9,−1.2,3.68
1898,"40,380,800","1,086,212","654,812","431,400",29.3,17.5,10.6,–0.9,3.62
1899,"40,774,300","1,091,106","685,510","405,596",29.1,18.2,9.9,−0.3,3.58
1900,"41,154,600","1,089,487","695,867","393,620",26.5,16.9,9.6,−0.3,3.53
1901,"41,538,200","1,092,781","655,646","437,135",26.3,15.8,10.5,−1.3,3.49
1902,"41,892,700","1,103,483","636,650","466,833",26.3,15.2,11.1,−2.7,3.44
1903,"42,246,600","1,113,086","613,726","499,360",26.3,14.5,11.8,−3.4,3.40
1904,"42,611,400","1,109,542","651,301","458,241",26,15.3,10.8,−2.2,3.35
1905,"42,980,800","1,092,108","617,516","474,592",25.4,14.4,11,−2.4,3.30
1906,"43,361,100","1,098,475","629,955","468,520",25.3,14.5,10.8,−2.0,3.24
1907,"43,737,800","1,077,851","625,271","452,580",24.6,14.3,10.3,−1.7,3.19
1908,"44,123,800","1,102,345","621,427","480,918",25,14.1,10.9,−2.2,3.14
1909,"44,519,500","1,073,781","614,910","458,871",24.1,13.8,10.3,−1.4,3.07
1910,"44,915,900","1,051,240","578,091","473,149",23.4,12.9,10.5,−1.7,2.99
1911,"42,189,800","1,033,395","620,828","412,567",24.5,14.7,9.8,−74.4,2.92
1912,"42,373,600","1,025,828","580,977","444,851",24.2,13.7,10.5,−6.2,2.90
1913,"42,582,300","1,032,286","600,554","431,732",24.2,14.1,10.1,−5.2,2.93
1914,"42,956,900","1,032,734","611,970","420,764",24,14.2,9.8,−1.1,2.88
1915,"41,361,500","956,877","666,322","290,555",23.1,16.1,7,−45.6,2.59
1916,"40,536,300","922,085","599,621","322,464",22.7,14.8,8,−28.3,2.60
1917,"39,780,700","790,736","589,416","201,320",19.9,14.8,5.1,−24.1,2.10
1918,"39,582,000","787,427","715,246","72,181",19.9,18.1,1.8,−6.8,2.03
1919,"42,944,100","826,202","602,188","224,014",19.2,18.1,5.2,73.1,2.31
1920,"43,646,400","1,126,849","555,326","571,523",19.2,14,13.1,3,3.08
1921,"43,904,100","1,001,725","544,140","457,585",22.8,12.4,10.4,−4.6,2.69
1922,"44,331,500","924,740","579,480","345,260",20.9,13.1,7.8,1.9,2.44
1923,"44,563,100","900,130","526,858","373,272",20.2,11.8,8.4,−3.2,2.38
1924,"44,885,600","865,329","563,891","301,438",19.3,12.6,6.7,0.5,2.28
1925,"45,040,000","842,405","558,132","284,273",18.7,12.4,6.3,−2.9,2.20
1926,"45,217,600","825,174","536,411","288,763",18.2,11.9,6.4,−2.5,2.15
1927,"45,432,000","777,520","568,655","208,865",17.1,12.5,4.6,0.1,2.01
1928,"45,622,200","783,052","543,664","239,388",17.2,11.9,5.2,−1.1,2.01
1929,"45,731,000","761,963","623,231","138,732",16.7,13.6,3,−0.7,1.95
1930,"45,888,900","769,239","536,860","232,379",16.8,11.7,5.1,−1.6,1.95
1931,"46,073,600","749,974","573,908","176,066",16.3,12.5,3.8,0.2,1.89
1932,"46,335,000","730,079","567,986","162,093",15.8,12.3,3.5,2.1,1.83
1933,"46,520,000","691,560","579,467","112,093",14.9,12.5,2.4,1.6,1.72
1934,"46,666,000","711,483","558,072","153,411",15.2,12,3.3,−0.2,1.76
1935,"46,869,500","711,426","561,324","150,102",15.2,12,3.2,1.1,1.75
1936,"47,081,300","720,129","580,942","139,187",15.3,12.3,3,1.5,1.77
1937,"47,288,600","723,779","597,798","125,981",15.3,12.6,2.7,1.7,1.79
1938,"47,494,100","735,573","559,598","175,975",15.5,11.8,3.7,0.6,1.84
1939,"47,547,700","726,632","581,857","144,775",15.3,12.2,3.0,−1.9,1.84
1940,"46,026,200","701,875","673,253","28,622",15.2,14.6,0.6,−33.7,1.74
1941,"44,870,400","695,726","627,378","68,348",15.5,14.0,1.5,−27.3,1.72
1942,"44,323,000","771,851","562,356","209,495",17.4,12.7,4.7,−17.1,1.93
1943,"48,261,000","810,524","585,582","224,942",16.8,12.1,3.7,76.9,2.03
1944,"48,261,600","878,298","573,570","303,728",18.2,11.9,6.3,−17,2.25
1945,"48,668,900","795,868","567,027","228,841",16.4,11.7,4.7,3.7,2.05
1946,"48,987,800","955,266","573,361","381,905",19.5,11.7,7.8,−1.3,2.47
1947,"49,538,700","1,025,427","600,728","424,699",20.7,12.1,8.6,2.5,2.69
1948,"50,033,200","905,182","546,002","359,180",18.1,10.9,7.2,2.7,2.39
1949,"50,331,000","855,298","589,876","265,422",17,11.7,5.3,0.6,2.26
1950,"50,381,500","818,421","590,136","228,285",16.2,11.7,4.5,−3.5,2.08
1951,"50,286,900","796,645","632,786","163,859",15.8,12.6,3.3,−5.1,2.10
1952,"50,429,200","792,917","573,806","219,111",15.7,11.4,4.3,−1.5,2.15
1953,"50,592,900","804,269","577,220","227,049",15.9,11.4,4.5,−1.3,2.20
1954,"50,764,900","794,769","578,400","216,369",15.7,11.4,4.3,−0.9,2.26
1955,"50,946,100","789,315","595,916","193,399",15.5,11.7,3.8,−0.2,2.33
1956,"51,183,500","825,137","597,981","227,156",16.1,11.7,4.4,0.2,2.40
1957,"51,430,200","851,466","591,200","260,266",16.6,11.5,5.1,−0.3,2.48
1958,"51,652,500","870,497","604,040","266,457",16.9,11.7,5.2,−0.9,2.55
1959,"51,956,300","878,561","606,115","272,446",16.9,11.7,5.2,0.6,2.63
1960,"52,372,500","918,286","603,328","314,958",17.5,11.5,6.0,1.9,2.71
1961,"52,807,400","944,365","631,788","312,577",17.9,12.0,5.9,2.3,2.78
1962,"53,291,800","975,635","636,051","339,584",18.3,11.9,6.4,2.7,2.87
1963,"53,624,900","990,160","654,288","335,872",18.5,12.2,6.3,−0.1,2.90
1964,"53,990,800","1,014,672","611,130","403,542",18.8,11.3,7.5,−0.7,2.95
1965,"54,349,500","997,275","627,798","369,477",18.3,11.6,6.8,−0.2,2.88
1966,"54,642,700","979,587","643,754","335,833",17.9,11.8,6.1,−0.8,2.80
1967,"54,959,000","961,800","616,710","345,090",17.5,11.2,6.3,−0.5,2.69
1968,"55,213,500","947,231","655,998","291,233",17.2,11.9,5.3,−0.7,2.61
1969,"55,460,600","920,256","659,537","260,719",16.6,11.9,4.7,−0.2,2.51
1970,"55,632,200","903,907","655,385","248,522",16.2,11.8,4.5,−1.4,2.44
1971,"55,928,000","901,648","645,078","256,570",16.1,11.5,4.6,0.7,2.40
1972,"56,096,000","833,984","673,938","160,046",14.9,12.0,2.9,0.1,2.20
1973,"56,223,000","779,545","669,692","109,853",13.9,11.9,2.0,0.3,2.03
1974,"56,235,000","737,138","667,359","69,779",13.1,11.9,1.2,−1.0,1.92
1975,"56,225,000","697,518","662,477","35,041",12.4,11.8,0.6,−0.8,1.81
1976,"56,216,000","675,526","680,799","−5,273",12.0,12.1,−0.1,−0.1,1.74
1977,"56,189,000","657,038","655,143","1,895",11.7,11.7,0.0,−0.5,1.69
1978,"56,178,000","686,952","667,177","19,775",12.2,11.9,0.4,−0.5,1.75
1979,"56,240,000","734,572","675,576","58,996",13.1,12.0,1.0,0.1,1.86
1980,"56,329,000","753,708","661,519","92,189",13.4,11.7,1.6,−0.1,1.90
1981,"56,357,000","730,712","657,974","72,738",13.0,11.7,1.3,−0.8,1.82
1982,"56,290,000","718,999","662,081","56,918",12.8,11.8,1.0,−2.2,1.78
1983,"56,315,000","721,238","659,101","62,137",12.8,11.7,1.1,−0.7,1.77
1984,"56,409,000","729,401","644,918","84,483",12.9,11.4,1.5,0.2,1.77
1985,"56,554,000","750,520","670,656","79,864",13.3,11.9,1.4,1.2,1.79
1986,"56,683,000","754,805","660,735","94,070",13.3,11.7,1.7,0.6,1.78
1987,"56,804,000","775,405","644,342","131,063",13.7,11.3,2.3,−0.2,1.81
1988,"56,916,000","787,303","649,178","138,125",13.8,11.4,2.4,−0.5,1.82
1989,"57,076,000","777,036","657,733","119,303",13.6,11.5,2.1,0.7,1.79
1990,"57,237,500","798,364","641,799","156,565",13.9,11.2,2.7,0.1,1.83
1991,"57,438,700","792,269","646,181","146,088",13.8,11.3,2.5,1.0,1.82
1992,"57,584,500","780,779","634,238","146,541",13.6,11.0,2.5,0,1.79
1993,"57,713,900","761,526","658,194","103,332",13.2,11.4,1.8,0.5,1.76
1994,"57,862,100","750,480","626,222","124,258",13.0,10.8,2.1,0.4,1.74
1995,"58,024,800","731,882","641,712","90,170",12.6,11.1,1.6,1.2,1.71
1996,"58,164,400","733,163","638,879","94,284",12.6,11.0,1.6,0.8,1.73
1997,"58,314,200","726,622","632,517","94,105",12.5,10.8,1.6,1.0,1.72
1998,"58,474,900","716,888","627,592","89,296",12.3,10.7,1.5,1.2,1.71
1999,"58,684,400","699,976","629,476","70,500",11.9,10.7,1.2,2.4,1.68
2000,"58,886,100","679,029","610,579","68,450",11.5,10.4,1.2,2.3,1.64
2001,"59,113,000","669,123","604,393","64,730",11.3,10.2,1.1,2.6,1.63
2002,"59,365,700","668,777","608,045","60,732",11.3,10.2,1.0,3.2,1.63
2003,"59,636,700","695,549","612,085","83,464",11.7,10.3,1.4,3.1,1.70
2004,"59,950,400","715,996","584,791","131,205",11.9,9.8,2.2,3,1.77
2005,"60,413,300","722,549","582,964","139,585",12.0,9.6,2.3,5.4,1.76
2006,"60,827,100","748,563","572,224","176,339",12.3,9.4,2.9,3.9,1.82
2007,"61,319,100","772,245","574,687","197,558",12.6,9.4,3.2,4.9,1.87
2008,"61,823,800","794,383","579,697","214,686",12.8,9.4,3.5,4.7,1.96
2009,"62,260,500","790,204","559,617","230,587",12.7,9.0,3.7,3.4,1.89
2010,"62,759,500","807,721","561,666","246,055",12.9,8.9,3.9,4.1,1.92
2011,"63,285,100","807,776","552,232","255,544",12.8,8.7,4.0,4.4,1.91
2012,"63,705,000","812,970","569,024","243,946",12.8,8.9,3.8,2.8,1.92
2013,"64,105,700","778,803","575,458","203,345",12.1,9.0,3.2,3.1,1.83
2014,"64,596,800","776,352","570,341","206,011",12.0,8.8,3.2,4.5,1.82
2015,"65,110,000","777,165","602,782","174,383",11.9,9.3,2.7,5.2,1.80
2016,"65,648,100","774,835","595,659","179,176",11.8,9.1,2.7,5.5,1.79
2017,"66,040,200","755,066","607,172","147,894",11.4,9.2,2.2,3.7,1.74
2018,"66,435,600","731,213","616,014","115,199",11.0,9.3,1.7,4.2,1.68
2019,"66,796,800","712,699","604,707","107,992",10.7,9.1,1.6,3.8,1.63
2020,"67,081,234","681,560","689,629","−8,069",10.2,10.3,−0.1,4.4,1.56
2021,"67,026,292","694,685","666,659","28,026",10.3,9.9,0.4,−1.2,1.54
2022,"67,596,300","673,141","657,278","15,863",10.0,9.7,0.3,8.3,1.49
2023,"68,265,200","656,847","660,772","−3,925",9.7,9.7,−0.0,10.0,1.42
